INFO:root:{'delta_E': -1.0183362198928272, 'flips': 3, 'total_E': -6.0482838915236695e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.9357100749189323, 'flips': 5, 'total_E': -5.919095173600995e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -2.2845508747072976, 'flips': 5, 'total_E': -6.23451146166237e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -6.23451146166237e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -5.3496603538684075, 'flips': 5, 'total_E': -6.973111783453177e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.0915224765881066, 'flips': 6, 'total_E': -7.123812725031066e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -7.2331681560417564, 'flips': 5, 'total_E': -8.1224593631781555e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -8.097346321895877, 'flips': 5, 'total_E': -9.240418673376078e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -7.860562122883277, 'flips': 4, 'total_E': -1.0325686396815745e-21, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -2.6836071143884594, 'flips': 7, 'total_E': -1.0696198344703076e-21, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.2367841990125803, 'flips': 4, 'total_E': -1.0663506757944824e-21, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.3817159210680436, 'flips': 5, 'total_E': -1.0472740287474157e-21, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 3.282135335106374, 'flips': 8, 'total_E': -1.0019592600646229e-21, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 2.1177906053946893, 'flips': 2, 'total_E': -9.727200052491472e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.8532974862404032, 'flips': 6, 'total_E': -9.983075384599504e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 19.43003134583236, 'flips': 4, 'total_E': -7.300470049840294e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 2.491803341478267, 'flips': 7, 'total_E': -6.956439470679431e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 6.263221681482077, 'flips': 4, 'total_E': -6.091708395547776e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
